,praise_comment
80,就是那种下班后可以和朋友们一起约去看的无脑放松特效大片啦，特效确实是最顶级的，很多恢弘的场面会让你忍不住发出“原来特技已经到了这种程度的”惊叹！但然后呢？剧情太乏味了，到最后也没有任何反转，温子仁的节奏控制和场面调度确实无话可说，海沟那段把拍恐怖片的看家本领全拿出来了，但在人性的深度挖掘上就很匮乏了，什么比肩《黑暗骑士》和《指环王》真的是非常呵呵。
81,"1.温子仁的才华和审美都是顶尖。破船战海沟族，依稀可见电锯招魂恐怖片的气氛。海底探险，穿插少年成长戏，优秀的夺宝超英片。节奏紧凑，对于爆米花电影的掌控力也是炉火纯青。杰森·莫玛和艾梅柏·希尔德身材一个比一个火辣，打斗场面和盔甲造型也不错，造型神似圣斗士。画面五彩斑斓，视觉效果很赞。

2.水平高于正义联盟、蝙战超等片，可以与复联系列掰手腕。但没有达到星球大战和魔戒的水平，用此来尬吹的太过头了。

3.以及把海王拿来和诺兰蝙蝠侠三部曲来比的，麻烦去医院治治眼睛，根本就不是同一个风格的。硬说成海底阿凡达的也够了，很爱温子仁，但请不要捧杀他。"
82,特莉丝梅丽葛德大战钢铁兄弟会！
83,好看。特效精彩，想象力丰富。还有男主角太MAN了，好性感！女主角超美的！一路看下来觉得视效很爽，剧情也不错，温子仁水平挺不错。
84,Salav nos Star of the sea                                                      看了一场上天入海的侏罗纪、阿凡达、异形、指环王、海底二万里大戏。海花乱坠～终于从海王这里get到了肌肉之驱的美感193小公主名不虚传～ps威尔森已经是温导的御用男演员了吗？好想问妮可驻颜术是怎么练的，颜值仿佛回到《小岛惊魂》时期简直太抗打。女主海底装很像是穿了紧身衣的小美人鱼。哦！btw最后的彩蛋我只想问为什么黑人兄弟你的命那么硬？期待温子仁来拍第二部
85,嚯！圣斗士要这么拍多好啊～跟看海皇篇似的～白银果然还是干不过黄金啊！DC这次表现还不错～
86,宏大如英雄史诗，七大王国和权斗让亚特兰提斯和背后的世界观变得气势恢宏；好笑浪漫如生活片，主角作为outcast第一次适应新身份有着很古怪可爱的反差萌。前段的背景铺陈不冗长，中段用爱情亲情调剂，最后再大气收尾，编排得不让人无聊。此外Nicole和Amber组成了超英片里女性角色最高挑亮丽的“风景线”。特效中的“飞水风中转”和“万兽齐游”很壮观，算是一个不错的开局。
87,流畅的运镜、瑰丽的奇观和张弛的节奏足以值回票价，更让我兴奋的是温子仁集商业类型元素大成——从「哈姆雷特」的王子复仇到「古墓丽影」的惊险探秘，从「印斯茅斯的阴影」的克苏鲁恐怖到「罗马假日」的唯美爱情——打造出一部难以定义的新超级英雄电影。然而最让我惊喜的还不止于此而是，温子仁在一个西方希腊神话故事的外衣下暗藏了一个东方功夫宗师传奇，东西方的文化元素在温子仁手里玩味得如火纯青，这一点比朱浩伟的全亚裔「摘金奇缘」更加值得赞许。当然以上三点是在牺牲了人物形象塑造与主题表达统一的基础上实现的，这也是《海王》最大的遗憾，因此《海王》可能算不上神片，但绝对是DCEU的救市之作。
88,我站小王子！一个缺爱的中二少年。音乐厉害，虽然一段一段连不太起来（西西里房顶上忽然就超级玛丽feel了），但胡来得很带劲。
89,这么平庸乏味的剧本，换给一个平庸的导演，估计只能拍出一部无聊透顶的电影。温子仁是真的厉害，尽量把这么套路的一个剧本，每一场单独的戏都拍出了自己的趣味，转场的节奏也恰到好处，但统一起来依然是个不好看的剧本。我觉得DC的最大问题是，一直没把电影当电影，故事结构的问题都很大，如果不是温子仁用导演技巧赢撑着，中间段落的矛盾张力就已经不够了，真的看不下去。所以导演这个活儿啊，果然重点不是故事，而是怎么讲故事，温子仁是个善于讲故事的导演。
